"","abb","year","value","state","fips","label"
"1","RI","2006",0.2143556,"Rhode Island",44,"Nones"
"2","NH","2006",0.245922,"New Hampshire",33,"Nones"
"3","CT","2006",0.26604971,"Connecticut",9,"Nones"
"4","NY","2006",0.2286758,"New York",36,"Nones"
"5","MA","2006",0.28128269,"Massachusetts",25,"Nones"
"6","WY","2006",0.29072389,"Wyoming",56,"Nones"
"7","MD","2006",0.20673829,"Maryland",24,"Nones"
"8","NJ","2006",0.1813484,"New Jersey",34,"Nones"
"9","CA","2006",0.26961479,"California",6,"Nones"
"10","VT","2006",0.1909236,"Vermont",50,"Nones"
"11","NV","2006",0.2878103,"Nevada",32,"Nones"
"12","HI","2006",0.23942789,"Hawaii",15,"Nones"
"13","WV","2006",0.16938829,"West Virginia",54,"Nones"
"14","DE","2006",0.20306531,"Delaware",10,"Nones"
"15","IN","2006",0.1695279,"Indiana",18,"Nones"
"16","WA","2006",0.3223339,"Washington",53,"Nones"
"17","IL","2006",0.17563599,"Illinois",17,"Nones"
"18","ME","2006",0.2224569,"Maine",23,"Nones"
"19","ND","2006",0.14388201,"North Dakota",38,"Nones"
"20","NC","2006",0.17641149,"North Carolina",37,"Nones"
"21","NM","2006",0.2803171,"New Mexico",35,"Nones"
"22","CO","2006",0.3055405,"Colorado",8,"Nones"
"23","AK","2006",0.32837579,"Alaska",2,"Nones"
"24","VA","2006",0.1983026,"Virginia",51,"Nones"
"25","SD","2006",0.0948423,"South Dakota",46,"Nones"
"26","WI","2006",0.1885629,"Wisconsin",55,"Nones"
"27","PA","2006",0.1603844,"Pennsylvania",42,"Nones"
"28","FL","2006",0.19837409,"Florida",12,"Nones"
"29","ID","2006",0.23084991,"Idaho",16,"Nones"
"30","MT","2006",0.21389151,"Montana",30,"Nones"
"31","OR","2006",0.28893089,"Oregon",41,"Nones"
"32","MN","2006",0.16438501,"Minnesota",27,"Nones"
"33","MS","2006",0.1211985,"Mississippi",28,"Nones"
"34","MO","2006",0.1550089,"Missouri",29,"Nones"
"35","SC","2006",0.1072019,"South Carolina",45,"Nones"
"36","IA","2006",0.2102209,"Iowa",19,"Nones"
"37","AR","2006",0.2011272,"Arkansas",5,"Nones"
"38","TN","2006",0.1220289,"Tennessee",47,"Nones"
"39","LA","2006",0.15256339,"Louisiana",22,"Nones"
"40","MI","2006",0.1939833,"Michigan",26,"Nones"
"41","OH","2006",0.1731708,"Ohio",39,"Nones"
"42","AL","2006",0.099108502,"Alabama",1,"Nones"
"43","GA","2006",0.1599396,"Georgia",13,"Nones"
"44","OK","2006",0.1552715,"Oklahoma",40,"Nones"
"45","TX","2006",0.1539571,"Texas",48,"Nones"
"46","AZ","2006",0.2212109,"Arizona",4,"Nones"
"47","KS","2006",0.1660472,"Kansas",20,"Nones"
"48","KY","2006",0.1716947,"Kentucky",21,"Nones"
"49","NE","2006",0.2188098,"Nebraska",31,"Nones"
"50","UT","2006",0.2138973,"Utah",49,"Nones"
"51","DC","2006",0.1041024,"District of Columbia",11,"Nones"
"52","RI","2007",0.23705246,"Rhode Island",44,"Nones"
"53","NH","2007",0.25650924,"New Hampshire",33,"Nones"
"54","CT","2007",0.2230368,"Connecticut",9,"Nones"
"55","NY","2007",0.23689835,"New York",36,"Nones"
"56","MA","2007",0.27211565,"Massachusetts",25,"Nones"
"57","WY","2007",0.25645465,"Wyoming",56,"Nones"
"58","MD","2007",0.19143306,"Maryland",24,"Nones"
"59","NJ","2007",0.19163325,"New Jersey",34,"Nones"
"60","CA","2007",0.28553426,"California",6,"Nones"
"61","VT","2007",0.26505071,"Vermont",50,"Nones"
"62","NV","2007",0.27811351,"Nevada",32,"Nones"
"63","HI","2007",0.2259841,"Hawaii",15,"Nones"
"64","WV","2007",0.16680434,"West Virginia",54,"Nones"
"65","DE","2007",0.1952085,"Delaware",10,"Nones"
"66","IN","2007",0.2018443,"Indiana",18,"Nones"
"67","WA","2007",0.32947704,"Washington",53,"Nones"
"68","IL","2007",0.1928992,"Illinois",17,"Nones"
"69","ME","2007",0.26906589,"Maine",23,"Nones"
"70","ND","2007",0.13420039,"North Dakota",38,"Nones"
"71","NC","2007",0.1754131,"North Carolina",37,"Nones"
"72","NM","2007",0.2396377,"New Mexico",35,"Nones"
"73","CO","2007",0.28409564,"Colorado",8,"Nones"
"74","AK","2007",0.3251861,"Alaska",2,"Nones"
"75","VA","2007",0.21857914,"Virginia",51,"Nones"
"76","SD","2007",0.1457074,"South Dakota",46,"Nones"
"77","WI","2007",0.19125184,"Wisconsin",55,"Nones"
"78","PA","2007",0.18167961,"Pennsylvania",42,"Nones"
"79","FL","2007",0.21016771,"Florida",12,"Nones"
"80","ID","2007",0.25224146,"Idaho",16,"Nones"
"81","MT","2007",0.20730124,"Montana",30,"Nones"
"82","OR","2007",0.30883849,"Oregon",41,"Nones"
"83","MN","2007",0.1745134,"Minnesota",27,"Nones"
"84","MS","2007",0.1416119,"Mississippi",28,"Nones"
"85","MO","2007",0.187985,"Missouri",29,"Nones"
"86","SC","2007",0.1414344,"South Carolina",45,"Nones"
"87","IA","2007",0.21731375,"Iowa",19,"Nones"
"88","AR","2007",0.1941077,"Arkansas",5,"Nones"
"89","TN","2007",0.15386575,"Tennessee",47,"Nones"
"90","LA","2007",0.14099355,"Louisiana",22,"Nones"
"91","MI","2007",0.22449809,"Michigan",26,"Nones"
"92","OH","2007",0.18829346,"Ohio",39,"Nones"
"93","AL","2007",0.1381498,"Alabama",1,"Nones"
"94","GA","2007",0.16058655,"Georgia",13,"Nones"
"95","OK","2007",0.17726339,"Oklahoma",40,"Nones"
"96","TX","2007",0.1629277,"Texas",48,"Nones"
"97","AZ","2007",0.25236624,"Arizona",4,"Nones"
"98","KS","2007",0.18236825,"Kansas",20,"Nones"
"99","KY","2007",0.16932826,"Kentucky",21,"Nones"
"100","NE","2007",0.2163967,"Nebraska",31,"Nones"
"101","UT","2007",0.18595114,"Utah",49,"Nones"
"102","DC","2007",0.20767584,"District of Columbia",11,"Nones"
"103","RI","2008",0.25974929,"Rhode Island",44,"Nones"
"104","NH","2008",0.26709649,"New Hampshire",33,"Nones"
"105","CT","2008",0.18002389,"Connecticut",9,"Nones"
"106","NY","2008",0.2451209,"New York",36,"Nones"
"107","MA","2008",0.2629486,"Massachusetts",25,"Nones"
"108","WY","2008",0.2221854,"Wyoming",56,"Nones"
"109","MD","2008",0.17612781,"Maryland",24,"Nones"
"110","NJ","2008",0.2019181,"New Jersey",34,"Nones"
"111","CA","2008",0.30145371,"California",6,"Nones"
"112","VT","2008",0.33917779,"Vermont",50,"Nones"
"113","NV","2008",0.2684167,"Nevada",32,"Nones"
"114","HI","2008",0.2125403,"Hawaii",15,"Nones"
"115","WV","2008",0.16422039,"West Virginia",54,"Nones"
"116","DE","2008",0.1873517,"Delaware",10,"Nones"
"117","IN","2008",0.23416071,"Indiana",18,"Nones"
"118","WA","2008",0.33662021,"Washington",53,"Nones"
"119","IL","2008",0.2101624,"Illinois",17,"Nones"
"120","ME","2008",0.3156749,"Maine",23,"Nones"
"121","ND","2008",0.1245188,"North Dakota",38,"Nones"
"122","NC","2008",0.17441469,"North Carolina",37,"Nones"
"123","NM","2008",0.19895829,"New Mexico",35,"Nones"
"124","CO","2008",0.26265079,"Colorado",8,"Nones"
"125","AK","2008",0.32199639,"Alaska",2,"Nones"
"126","VA","2008",0.2388557,"Virginia",51,"Nones"
"127","SD","2008",0.1965725,"South Dakota",46,"Nones"
"128","WI","2008",0.1939408,"Wisconsin",55,"Nones"
"129","PA","2008",0.2029748,"Pennsylvania",42,"Nones"
"130","FL","2008",0.2219613,"Florida",12,"Nones"
"131","ID","2008",0.273633,"Idaho",16,"Nones"
"132","MT","2008",0.200711,"Montana",30,"Nones"
"133","OR","2008",0.32874611,"Oregon",41,"Nones"
"134","MN","2008",0.18464179,"Minnesota",27,"Nones"
"135","MS","2008",0.1620253,"Mississippi",28,"Nones"
"136","MO","2008",0.22096109,"Missouri",29,"Nones"
"137","SC","2008",0.1756669,"South Carolina",45,"Nones"
"138","IA","2008",0.2244066,"Iowa",19,"Nones"
"139","AR","2008",0.18708821,"Arkansas",5,"Nones"
"140","TN","2008",0.18570261,"Tennessee",47,"Nones"
"141","LA","2008",0.12942369,"Louisiana",22,"Nones"
"142","MI","2008",0.2550129,"Michigan",26,"Nones"
"143","OH","2008",0.20341609,"Ohio",39,"Nones"
"144","AL","2008",0.17719109,"Alabama",1,"Nones"
"145","GA","2008",0.1612335,"Georgia",13,"Nones"
"146","OK","2008",0.1992553,"Oklahoma",40,"Nones"
"147","TX","2008",0.17189831,"Texas",48,"Nones"
"148","AZ","2008",0.28352159,"Arizona",4,"Nones"
"149","KS","2008",0.1986893,"Kansas",20,"Nones"
"150","KY","2008",0.1669618,"Kentucky",21,"Nones"
"151","NE","2008",0.2139836,"Nebraska",31,"Nones"
"152","UT","2008",0.158005,"Utah",49,"Nones"
"153","DC","2008",0.31124929,"District of Columbia",11,"Nones"
"154","RI","2009",0.26021129,"Rhode Island",44,"Nones"
"155","NH","2009",0.2347583,"New Hampshire",33,"Nones"
"156","CT","2009",0.31050101,"Connecticut",9,"Nones"
"157","NY","2009",0.19539949,"New York",36,"Nones"
"158","MA","2009",0.29426339,"Massachusetts",25,"Nones"
"159","WY","2009",0.2377211,"Wyoming",56,"Nones"
"160","MD","2009",0.21718261,"Maryland",24,"Nones"
"161","NJ","2009",0.2855002,"New Jersey",34,"Nones"
"162","CA","2009",0.30495399,"California",6,"Nones"
"163","VT","2009",0.40092349,"Vermont",50,"Nones"
"164","NV","2009",0.23554561,"Nevada",32,"Nones"
"165","HI","2009",0.1879317,"Hawaii",15,"Nones"
"166","WV","2009",0.2886,"West Virginia",54,"Nones"
"167","DE","2009",0.2422719,"Delaware",10,"Nones"
"168","IN","2009",0.2792922,"Indiana",18,"Nones"
"169","WA","2009",0.3146894,"Washington",53,"Nones"
"170","IL","2009",0.2435125,"Illinois",17,"Nones"
"171","ME","2009",0.35138059,"Maine",23,"Nones"
"172","ND","2009",0.1062228,"North Dakota",38,"Nones"
"173","NC","2009",0.28841531,"North Carolina",37,"Nones"
"174","NM","2009",0.29130661,"New Mexico",35,"Nones"
"175","CO","2009",0.2768907,"Colorado",8,"Nones"
"176","AK","2009",0.30448139,"Alaska",2,"Nones"
"177","VA","2009",0.2111176,"Virginia",51,"Nones"
"178","SD","2009",0.17874099,"South Dakota",46,"Nones"
"179","WI","2009",0.2253482,"Wisconsin",55,"Nones"
"180","PA","2009",0.2257583,"Pennsylvania",42,"Nones"
"181","FL","2009",0.2482993,"Florida",12,"Nones"
"182","ID","2009",0.37733969,"Idaho",16,"Nones"
"183","MT","2009",0.3384788,"Montana",30,"Nones"
"184","OR","2009",0.35784879,"Oregon",41,"Nones"
"185","MN","2009",0.2295038,"Minnesota",27,"Nones"
"186","MS","2009",0.166041,"Mississippi",28,"Nones"
"187","MO","2009",0.21879371,"Missouri",29,"Nones"
"188","SC","2009",0.27473381,"South Carolina",45,"Nones"
"189","IA","2009",0.2490828,"Iowa",19,"Nones"
"190","AR","2009",0.1101328,"Arkansas",5,"Nones"
"191","TN","2009",0.28976271,"Tennessee",47,"Nones"
"192","LA","2009",0.2000594,"Louisiana",22,"Nones"
"193","MI","2009",0.24861629,"Michigan",26,"Nones"
"194","OH","2009",0.22989871,"Ohio",39,"Nones"
"195","AL","2009",0.30135781,"Alabama",1,"Nones"
"196","GA","2009",0.2272699,"Georgia",13,"Nones"
"197","OK","2009",0.248707,"Oklahoma",40,"Nones"
"198","TX","2009",0.205901,"Texas",48,"Nones"
"199","AZ","2009",0.24254189,"Arizona",4,"Nones"
"200","KS","2009",0.1541288,"Kansas",20,"Nones"
"201","KY","2009",0.2217927,"Kentucky",21,"Nones"
"202","NE","2009",0.1750676,"Nebraska",31,"Nones"
"203","UT","2009",0.2272452,"Utah",49,"Nones"
"204","DC","2009",0.3920486,"District of Columbia",11,"Nones"
"205","RI","2010",0.20946521,"Rhode Island",44,"Nones"
"206","NH","2010",0.22509199,"New Hampshire",33,"Nones"
"207","CT","2010",0.2180912,"Connecticut",9,"Nones"
"208","NY","2010",0.2050184,"New York",36,"Nones"
"209","MA","2010",0.2558324,"Massachusetts",25,"Nones"
"210","WY","2010",0.29396009,"Wyoming",56,"Nones"
"211","MD","2010",0.20804919,"Maryland",24,"Nones"
"212","NJ","2010",0.2462856,"New Jersey",34,"Nones"
"213","CA","2010",0.2834844,"California",6,"Nones"
"214","VT","2010",0.40812421,"Vermont",50,"Nones"
"215","NV","2010",0.22885071,"Nevada",32,"Nones"
"216","HI","2010",0.3228488,"Hawaii",15,"Nones"
"217","WV","2010",0.2835719,"West Virginia",54,"Nones"
"218","DE","2010",0.14545441,"Delaware",10,"Nones"
"219","IN","2010",0.27919379,"Indiana",18,"Nones"
"220","WA","2010",0.32984239,"Washington",53,"Nones"
"221","IL","2010",0.2410837,"Illinois",17,"Nones"
"222","ME","2010",0.272991,"Maine",23,"Nones"
"223","ND","2010",0.2134715,"North Dakota",38,"Nones"
"224","NC","2010",0.20330881,"North Carolina",37,"Nones"
"225","NM","2010",0.25560781,"New Mexico",35,"Nones"
"226","CO","2010",0.30296701,"Colorado",8,"Nones"
"227","AK","2010",0.28098759,"Alaska",2,"Nones"
"228","VA","2010",0.2343166,"Virginia",51,"Nones"
"229","SD","2010",0.180095,"South Dakota",46,"Nones"
"230","WI","2010",0.1986603,"Wisconsin",55,"Nones"
"231","PA","2010",0.20437761,"Pennsylvania",42,"Nones"
"232","FL","2010",0.244931,"Florida",12,"Nones"
"233","ID","2010",0.2217865,"Idaho",16,"Nones"
"234","MT","2010",0.2408689,"Montana",30,"Nones"
"235","OR","2010",0.27324879,"Oregon",41,"Nones"
"236","MN","2010",0.2197437,"Minnesota",27,"Nones"
"237","MS","2010",0.1987215,"Mississippi",28,"Nones"
"238","MO","2010",0.23018719,"Missouri",29,"Nones"
"239","SC","2010",0.2367294,"South Carolina",45,"Nones"
"240","IA","2010",0.23155279,"Iowa",19,"Nones"
"241","AR","2010",0.16292299,"Arkansas",5,"Nones"
"242","TN","2010",0.25954351,"Tennessee",47,"Nones"
"243","LA","2010",0.17947529,"Louisiana",22,"Nones"
"244","MI","2010",0.30036381,"Michigan",26,"Nones"
"245","OH","2010",0.2408839,"Ohio",39,"Nones"
"246","AL","2010",0.1883253,"Alabama",1,"Nones"
"247","GA","2010",0.20541769,"Georgia",13,"Nones"
"248","OK","2010",0.26865751,"Oklahoma",40,"Nones"
"249","TX","2010",0.2443603,"Texas",48,"Nones"
"250","AZ","2010",0.2497689,"Arizona",4,"Nones"
"251","KS","2010",0.2079796,"Kansas",20,"Nones"
"252","KY","2010",0.2274923,"Kentucky",21,"Nones"
"253","NE","2010",0.1779761,"Nebraska",31,"Nones"
"254","UT","2010",0.17638829,"Utah",49,"Nones"
"255","DC","2010",0.21670499,"District of Columbia",11,"Nones"
"256","RI","2011",0.28843781,"Rhode Island",44,"Nones"
"257","NH","2011",0.31302339,"New Hampshire",33,"Nones"
"258","CT","2011",0.3266198,"Connecticut",9,"Nones"
"259","NY","2011",0.2520766,"New York",36,"Nones"
"260","MA","2011",0.3597661,"Massachusetts",25,"Nones"
"261","WY","2011",0.3332265,"Wyoming",56,"Nones"
"262","MD","2011",0.25853771,"Maryland",24,"Nones"
"263","NJ","2011",0.2467481,"New Jersey",34,"Nones"
"264","CA","2011",0.29611969,"California",6,"Nones"
"265","VT","2011",0.46365461,"Vermont",50,"Nones"
"266","NV","2011",0.2647832,"Nevada",32,"Nones"
"267","HI","2011",0.2261132,"Hawaii",15,"Nones"
"268","WV","2011",0.27232349,"West Virginia",54,"Nones"
"269","DE","2011",0.13966881,"Delaware",10,"Nones"
"270","IN","2011",0.29561681,"Indiana",18,"Nones"
"271","WA","2011",0.35006639,"Washington",53,"Nones"
"272","IL","2011",0.2617372,"Illinois",17,"Nones"
"273","ME","2011",0.34645841,"Maine",23,"Nones"
"274","ND","2011",0.30566451,"North Dakota",38,"Nones"
"275","NC","2011",0.21166719,"North Carolina",37,"Nones"
"276","NM","2011",0.26056659,"New Mexico",35,"Nones"
"277","CO","2011",0.30535689,"Colorado",8,"Nones"
"278","AK","2011",0.1709314,"Alaska",2,"Nones"
"279","VA","2011",0.22755881,"Virginia",51,"Nones"
"280","SD","2011",0.3308886,"South Dakota",46,"Nones"
"281","WI","2011",0.1983635,"Wisconsin",55,"Nones"
"282","PA","2011",0.2350177,"Pennsylvania",42,"Nones"
"283","FL","2011",0.2400047,"Florida",12,"Nones"
"284","ID","2011",0.3643207,"Idaho",16,"Nones"
"285","MT","2011",0.27781469,"Montana",30,"Nones"
"286","OR","2011",0.37330991,"Oregon",41,"Nones"
"287","MN","2011",0.30681121,"Minnesota",27,"Nones"
"288","MS","2011",0.0970769,"Mississippi",28,"Nones"
