"","evangelical","inputstate","pew_churatd"
"1",0,33,6
"2",0,22,NaN
"3",0,29,3
"4",0,1,4
"5",0,8,6
"6",1,1,2
"7",1,48,2
"8",0,42,5
"9",1,13,4
"10",0,42,5
"11",0,15,5
"12",1,48,5
"13",0,12,4
"14",0,48,6
"15",0,20,6
"16",0,42,6
"17",0,34,6
"18",1,48,1
"19",0,36,7
"20",0,12,3
"21",0,36,3
"22",0,6,5
"23",0,25,6
"24",0,23,6
"25",0,6,6
"26",1,24,3
"27",1,12,5
"28",0,37,6
"29",0,26,7
"30",1,48,2
"31",0,41,2
"32",1,48,1
"33",1,30,2
"34",0,4,6
"35",0,42,4
"36",1,26,4
"37",0,48,6
"38",0,53,2
"39",0,51,6
"40",0,6,4
"41",1,6,2
"42",0,45,6
"43",0,26,6
"44",1,36,5
"45",0,12,5
"46",1,5,2
"47",0,9,5
"48",0,47,6
"49",0,6,2
"50",0,25,6
"51",0,32,6
"52",1,17,6
"53",1,48,6
"54",0,6,3
"55",0,36,6
"56",0,34,3
"57",1,6,4
"58",1,47,6
"59",0,54,1
"60",0,40,6
"61",1,25,3
"62",0,48,6
"63",1,18,1
"64",1,6,2
"65",1,24,1
"66",0,48,7
"67",1,37,4
"68",0,55,5
"69",0,24,4
"70",0,6,2
"71",1,29,2
"72",0,32,6
"73",0,26,2
"74",1,48,6
"75",0,39,4
"76",0,49,5
"77",0,42,5
"78",1,48,3
"79",0,48,5
"80",0,40,6
"81",0,53,4
"82",0,29,4
"83",0,56,6
"84",0,42,5
"85",1,36,4
"86",0,12,6
"87",0,6,5
"88",0,24,6
"89",0,11,3
"90",0,17,4
"91",1,41,6
"92",1,12,5
"93",0,37,6
"94",0,36,6
"95",0,18,5
"96",1,16,5
"97",0,1,6
"98",0,51,5
"99",0,27,6
"100",0,51,6
"101",0,48,4
"102",0,1,5
"103",1,53,2
"104",0,26,5
"105",0,6,6
"106",0,13,6
"107",0,36,6
"108",1,17,4
"109",0,9,6
"110",0,25,6
"111",1,24,1
"112",1,26,2
"113",0,12,3
"114",0,29,5
"115",1,39,2
"116",0,23,4
"117",0,37,5
"118",0,51,4
"119",0,29,6
"120",0,26,2
"121",0,48,2
"122",0,39,5
"123",0,36,6
"124",1,54,1
"125",1,48,6
"126",0,53,5
"127",0,8,6
"128",1,54,1
"129",0,36,6
"130",1,37,5
"131",0,23,6
"132",0,37,2
"133",1,37,1
"134",1,6,2
"135",1,45,2
"136",1,1,2
"137",0,45,4
"138",0,6,5
"139",0,55,2
"140",0,12,6
"141",0,42,4
"142",0,40,6
"143",0,48,4
"144",1,17,4
"145",0,29,5
