relig,count,denom
babiest,1,Baptist
babpist,1,Baptist
babtist,9,Baptist
Babtist,2,Baptist
bap,1,Baptist
bapdist,1,Baptist
bapist,3,Baptist
bapitist,1,Baptist
baptis,3,Baptist
Baptis,1,Baptist
baptis/christain,1,Baptist
Baptise,1,Baptist
baptish,1,Baptist
Baptish,1,Baptist
Baptisi,1,Baptist
Baptisit,1,Baptist
Baptism,2,Baptist
Baptist,331,Baptist
baptist,162,Baptist
BAPTIST,13,Baptist
Baptist (Christian),1,Baptist
Baptist Christian,4,Baptist
baptist christian,1,Baptist
baptist independent,1,Baptist
baptist not protestant,1,Baptist
"Baptist, Nazarene, Catholic",1,Baptist
Baptist/Christian,1,Baptist
Baptists,3,Baptist
baspist,1,Baptist
Baspist,1,Baptist
baspit,1,Baptist
basptist,1,Baptist
Bautista,1,Baptist
lurthern,1,Lutheran
lutharn,1,Lutheran
Lutheran,73,Lutheran
lutheran,25,Lutheran
Lutheran/Christian,1,Lutheran
lutheren,1,Lutheran
Lutheren,1,Lutheran
lutherin,1,Lutheran
Lutherin,1,Lutheran
luthern,16,Lutheran
Luthern,9,Lutheran
LUTHERN,1,Lutheran
luthran,1,Lutheran
Luthren,2,Lutheran
luthren,1,Lutheran
medithust,1,Methodist
Mehtodist,1,Methodist
methdist,1,Methodist
methidis,1,Methodist
methist,1,Methodist
Methodist,57,Methodist
methodist,35,Methodist
Methodista,1,Methodist
methohdist,1,Methodist
metodist,1,Methodist
non demonational,1,ND
non demonatonal,1,ND
Non Demoninational,1,ND
Non demoninational christian,1,ND
Non Demoninational Christian,1,ND
non demonitional Christian,1,ND
non denom,1,ND
non denom Christian,1,ND
Non denomational,1,ND
non denomenational Christian,1,ND
non denomination,11,ND
Non Denomination,4,ND
Non denomination,2,ND
NON DENOMINATION,1,ND
Non- denomination,1,ND
Non denomination Christian,2,ND
Non Denomination Christian,2,ND
non denomination christian,1,ND
non denomination Christian,1,ND
non denominational,18,ND
Non denominational,13,ND
Non Denominational,3,ND
Non Denominational Christain,1,ND
non denominational christian,6,ND
Non denominational Christian,6,ND
Non Denominational Christian,2,ND
Non denominational christian,1,ND
non denominationl christian,1,ND
non denominsional Christian,1,ND
non denomnation,1,ND
non denonational,1,ND
Non Dominational Christian,1,ND
Non Domnation,1,ND
non specific,1,ND
nondemonational,1,ND
Nondemonational,1,ND
Non-Demoniation,1,ND
non-demoninational,1,ND
Non-demoninational,1,ND
Non-demoninational Christian,1,ND
non-denomination,2,ND
Non-denomination,1,ND
Non-Denomination,1,ND
Non-denomination Christian,1,ND
Nondenominational,7,ND
nondenominational,5,ND
non-denominational,6,ND
Non-Denominational,4,ND
Non-denominational,3,ND
NON-DENOMINATIONAL,1,ND
Nondenominational Christian,3,ND
Nondenominational christian,1,ND
Non-denominational Christian,10,ND
non-denominational christian,1,ND
non-denominational Christian,1,ND
Non-denominational christian,1,ND
Non-Denominational Christian,1,ND
non-denominational(church of christ) the true and only church-christian,1,ND
"Non-Denominational, Born-Again Christian",1,ND
non-denominational.,1,ND
Non-denominationl,1,ND
non-domination,1,ND
Penacostal,2,Pentecostal
penacostle,1,Pentecostal
pencost,1,Pentecostal
Penecostal,1,Pentecostal
penetecostal,1,Pentecostal
penicostal,1,Pentecostal
pentacostal,6,Pentecostal
Pentacostal,2,Pentecostal
pentalcostal,1,Pentecostal
pentecoast,1,Pentecostal
Pentecoastal,1,Pentecostal
Pentecosal,1,Pentecostal
Pentecost,2,Pentecostal
pentecost,1,Pentecostal
Pentecostal,36,Pentecostal
pentecostal,11,Pentecostal
PENTECOSTAL,1,Pentecostal
pentecostal christian,1,Pentecostal
PENTECOSTAL CHRISTIAN,1,Pentecostal
Pentecostal Holy,1,Pentecostal
"Pentecostal, Evangelical",1,Pentecostal
Pentecostal/Apostolic,1,Pentecostal
Pentecostal/Christian,1,Pentecostal
penteost,1,Pentecostal
penthecostal,1,Pentecostal
Penticostal,2,Pentecostal
penticostal,1,Pentecostal
pentocoastal,1,Pentecostal
pentocostal,1,Pentecostal
episcipal,1,Episcopalian
Episcolalian,1,Episcopalian
Episcopailian,1,Episcopalian
Episcopal,9,Episcopalian
EPISCOPAL,1,Episcopalian
Episcopalian,12,Episcopalian
episcopalian,2,Episcopalian
Episcopsal,1,Episcopalian
