,religpew_t,n,percent
2,__NA__,42479,0.93946833
4,12 step,1,2.21E-05
5,704 ortodox,1,2.21E-05
6,7th day,1,2.21E-05
7,7th day adventist,1,2.21E-05
8,A BORN AGAIN CHILD OF GOD!,1,2.21E-05
9,A child of the King,1,2.21E-05
10,A Follower of Christ Jesus,1,2.21E-05
11,A mash of Eastern and Western Spirtitual practices,1,2.21E-05
12,A member of the Church of Jesus Christ of Latter-Day Saints,1,2.21E-05
13,advantist,1,2.21E-05
15,Adventist,4,8.85E-05
14,adventist,1,2.21E-05
16,African methodist episcopal,1,2.21E-05
17,African Methodist Episcopal,1,2.21E-05
18,Agnostic Quaker,1,2.21E-05
19,Agnostic Theist,1,2.21E-05
20,ame,3,6.63E-05
21,AME,2,4.42E-05
22,AME. Zion,1,2.21E-05
23,American Baptist,1,2.21E-05
24,American Indian spirituality,1,2.21E-05
25,An accepting of all-faiths Christian,1,2.21E-05
26,Ancient Alien Theorist,1,2.21E-05
27,Anglican/Episcopalian,1,2.21E-05
28,apatheist,1,2.21E-05
29,apostoic,1,2.21E-05
31,Apostolic,11,0.000243277
30,apostolic,7,0.000154812
32,Apostolic Christian,2,4.42E-05
33,Apostolic follower of Yeshua,1,2.21E-05
34,Apostolic Pentecostal,2,4.42E-05
35,"Apostolic, Word, Charismatic",1,2.21E-05
36,Armenian Apostolic,1,2.21E-05
37,asatru,1,2.21E-05
38,Asatru,1,2.21E-05
39,Assemb;y of God,1,2.21E-05
41,Assembly of God,3,6.63E-05
40,assembly of god,1,2.21E-05
42,Assembly Of God,1,2.21E-05
43,Atheist Buddhist,1,2.21E-05
44,"Atheist, culturally Jewish",1,2.21E-05
45,atheist/pagan,1,2.21E-05
46,Ba,1,2.21E-05
47,babiest,1,2.21E-05
48,babpist,1,2.21E-05
49,babtist,9,0.000199045
50,Babtist,2,4.42E-05
52,Bahai,1,2.21E-05
51,Baha'i,2,4.42E-05
53,bahi,1,2.21E-05
54,bap,1,2.21E-05
55,bapdist,1,2.21E-05
56,bapist,3,6.63E-05
57,bapitist,1,2.21E-05
58,baptis,3,6.63E-05
59,Baptis,1,2.21E-05
60,baptis/christain,1,2.21E-05
61,Baptise,1,2.21E-05
62,baptish,1,2.21E-05
63,Baptish,1,2.21E-05
64,Baptisi,1,2.21E-05
65,Baptisit,1,2.21E-05
66,Baptism,2,4.42E-05
68,Baptist,331,0.007320418
67,baptist,162,0.003582803
69,BAPTIST,13,0.000287509
70,Baptist (Christian),1,2.21E-05
72,Baptist Christian,4,8.85E-05
71,baptist christian,1,2.21E-05
73,baptist independent,1,2.21E-05
74,baptist not protestant,1,2.21E-05
75,"Baptist, Nazarene, Catholic",1,2.21E-05
76,Baptist/Christian,1,2.21E-05
77,Baptists,3,6.63E-05
78,baspist,1,2.21E-05
79,Baspist,1,2.21E-05
80,baspit,1,2.21E-05
81,basptist,1,2.21E-05
82,Bautista,1,2.21E-05
83,Be a kind considerate person,1,2.21E-05
84,"Believe in God, not organized religion.",1,2.21E-05
85,Believe in God. Not a particular religious dogma,1,2.21E-05
86,believe in many religions,1,2.21E-05
87,believer,1,2.21E-05
88,Believer,1,2.21E-05
89,Believer in Christ,1,2.21E-05
91,bible believer,1,2.21E-05
92,Bible believer,1,2.21E-05
93,Bible Believer,1,2.21E-05
94,Bible Beliving,1,2.21E-05
90,Bible-believing Christian,1,2.21E-05
95,blend of several,1,2.21E-05
96,Body of Christ,1,2.21E-05
98,born again,3,6.63E-05
99,Born again,3,6.63E-05
100,Born Again Bible Believing Christian,1,2.21E-05
101,born again christain,1,2.21E-05
102,Born again Christain,1,2.21E-05
106,Born again Christian,7,0.000154812
107,Born Again Christian,4,8.85E-05
104,born again Christian,3,6.63E-05
105,Born again christian,3,6.63E-05
103,born again christian,2,4.42E-05
108,"Born again Christian who believes in our Savior Jesus Christ who died for our sins, was raised from the dead and intercedes for us in heaven.",1,2.21E-05
109,"Born Again Christian, no other affiliation",1,2.21E-05
110,born again Cristion,1,2.21E-05
111,Born again evangelical,1,2.21E-05
112,born again pagan,1,2.21E-05
113,born again through blood of Jesus Christ,1,2.21E-05
97,born-again,1,2.21E-05
114,Bpst,1,2.21E-05
115,Branch Davidian,1,2.21E-05
116,bretheren,1,2.21E-05
117,Brethren,2,4.42E-05
118,Buddhist/Wiccan/agnostic,1,2.21E-05
119,Byzantine Catholic,1,2.21E-05
120,C.O.G.I.C.,1,2.21E-05
121,Carasmatic,1,2.21E-05
122,cathlic,1,2.21E-05
123,catholic,11,0.000243277
124,Catholic,4,8.85E-05
125,CATHOLIC,2,4.42E-05
126,catolic,1,2.21E-05
127,chainistan,1,2.21E-05
128,Charismatic,1,2.21E-05
129,Child Of God,1,2.21E-05
