"","height","weight"
"2","65.78331","112.9925"
"3","71.51521","136.4873"
"4","69.39874","153.0269"
"5","68.2166","142.3354"
"6","67.78781","144.2971"
"7","68.69784","123.3024"
"8","69.80204","141.4947"
"9","70.01472","136.4623"
"10","67.90265","112.3723"
"11","66.78236","120.6672"
"12","66.48769","127.4516"
"13","67.62333","114.143"
"14","68.30248","125.6107"
"15","67.11656","122.4618"
"16","68.27967","116.0866"
"17","71.0916","139.9975"
"18","66.461","129.5023"
"19","68.64927","142.9733"
"20","71.23033","137.9025"
"21","67.13118","124.0449"
"22","67.83379","141.2807"
"23","68.87881","143.5392"
"24","63.48115","97.90191"
"25","68.42187","129.5027"
"26","67.62804","141.8501"
"27","67.20864","129.7244"
"28","70.84235","142.4235"
"29","67.49434","131.5502"
"30","66.53401","108.3324"
"31","65.44098","113.8922"
"32","69.5233","103.3016"
"33","65.8132","120.7536"
"34","67.8163","125.7886"
"35","70.59505","136.2225"
"36","71.80484","140.1015"
"37","69.20613","128.7487"
"38","66.80368","141.7994"
"39","67.65893","121.2319"
"40","67.80701","131.3478"
"41","64.04535","106.7115"
"42","68.57463","124.3598"
"43","65.18357","124.8591"
"44","69.65814","139.6711"
"45","67.96731","137.3696"
"46","65.98088","106.4499"
"47","68.67249","128.7639"
"48","66.88088","145.6837"
"49","67.69868","116.819"
"50","69.82117","143.6215"
"51","69.08817","134.9325"
"52","69.91479","147.0219"
"53","67.33182","126.3285"
"54","70.26939","125.4839"
"55","69.10344","115.7084"
"56","65.38356","123.4892"
"57","70.18447","147.8926"
"58","70.40617","155.8987"
"59","66.54376","128.0742"
"60","66.36418","119.3701"
"61","67.537","133.8148"
"62","66.50418","128.7325"
"63","68.99958","137.5453"
"64","68.30355","129.7604"
"65","67.01255","128.824"
"66","70.80592","135.3165"
"67","68.21951","109.6113"
"68","69.05914","142.4684"
"69","67.73103","132.749"
"70","67.21568","103.5275"
"71","67.36763","124.7299"
"72","65.27033","129.3137"
"73","70.84278","134.0175"
"74","69.92442","140.3969"
"75","64.28508","102.8351"
"76","68.2452","128.5214"
"77","66.35708","120.2991"
"78","68.36275","138.6036"
"79","65.4769","132.9574"
"80","69.71947","115.6233"
"81","67.72554","122.524"
"82","68.63941","134.6254"
"83","66.78405","121.8986"
"84","70.05147","155.3767"
"85","66.27848","128.9418"
"86","69.20198","129.1013"
"87","69.13481","139.4733"
"88","67.36436","140.8901"
"89","70.09297","131.5916"
"90","70.1766","121.1232"
"91","68.22556","131.5127"
"92","68.12932","136.5479"
"93","70.24256","141.4896"
"94","71.48752","140.6104"
"95","69.20477","112.1413"
"96","70.06306","133.457"
"97","70.55703","131.8001"
"98","66.28644","120.0285"
"99","63.42577","123.0972"
"100","66.76711","128.1432"
"101","68.88741","115.4759"
"102","64.87434","102.0927"
"103","67.09272","130.353"
"104","68.34761","134.1842"
"105","65.61073","98.64133"
"106","67.75551","114.5599"
"107","68.0212","123.4917"
"108","67.66193","123.048"
"109","66.3146","126.4772"
"110","69.43706","128.417"
"111","63.83624","127.1941"
"112","67.72277","122.0562"
"113","70.05098","127.6064"
"114","70.18602","131.6423"
"115","65.94588","111.8955"
"116","70.007","122.039"
"117","68.61129","128.5547"
"118","68.80817","132.6792"
"119","69.76212","136.0632"
"120","65.45539","115.9403"
"121","68.82534","136.9041"
"122","65.8003","119.8804"
"123","67.21474","109.0055"
"124","69.42021","128.2705"
"125","68.94396","135.2913"
"126","67.9415","106.8558"
"127","65.62506","123.2939"
"128","66.49607","109.5143"
"129","67.92809","119.3087"
"130","68.89415","140.2402"
"131","70.241","133.9841"
"132","68.26623","132.5807"
"133","71.23161","130.6988"
"134","69.09747","115.5637"
"135","64.39693","123.7941"
"136","71.09585","128.1427"
"137","68.21868","135.9646"
"138","65.91721","116.6273"
"139","67.4369","126.8241"
"140","73.90107","151.3913"
"141","69.98149","130.4022"
"142","69.51862","136.2068"
"143","65.18437","113.3989"
"144","68.00869","125.3287"
"145","68.3384","127.5846"
"146","65.18417","107.1564"
"147","68.26209","116.4588"
"148","68.56865","133.8402"
"149","64.49675","112.8901"
"150","68.71053","130.7568"
"151","68.89148","137.7571"
"152","69.54011","125.4036"
"153","67.39964","138.4659"
"154","66.47521","120.8184"
"155","66.01217","140.1539"
"156","72.44434","136.7397"
"157","64.12642","106.1139"
"158","70.98112","158.9562"
"159","67.50124","108.7868"
"160","72.01515","138.7758"
"161","65.31143","115.9136"
"162","67.07509","146.2922"
"163","64.39148","109.8765"
"164","69.37003","139.0499"
"165","68.37921","119.9001"
"166","65.31018","128.3069"
"167","67.1369","127.2428"
"168","68.39468","115.2306"
"169","66.2918","124.7975"
"170","67.1866","126.9511"
"171","65.99156","111.2711"
"172","69.43393","122.6089"
"173","67.97463","124.2084"
"174","67.76133","124.6453"
"175","65.27864","119.5169"
"176","73.83364","139.2983"
"177","66.81312","104.8265"
"178","66.89411","123.0424"
"179","65.73568","118.8923"
"180","65.98283","121.4939"
"181","66.58396","119.2488"
"182","67.11294","135.0239"
"183","65.87481","116.228"
"184","66.78067","109.1731"
"185","68.73577","124.2237"
"186","66.22666","141.1645"
"187","65.95968","129.1501"
"188","68.58372","127.8693"
"189","66.59347","120.9244"
"190","66.96574","127.6466"
"191","68.08015","101.4693"
"192","70.19025","144.9927"
"193","65.52149","110.9523"
"194","67.45905","132.8625"
"195","67.40985","146.3385"
"196","69.66158","145.5894"
"197","65.79799","120.8431"
"198","66.10558","115.7813"
"199","68.23987","128.3019"
"200","68.02403","127.4718"
"201","71.39044","127.8761"
"202","65.7316","121.4997"
"203","66.43358","112.7148"
"204","70.01309","135.002"
"205","69.48146","128.6789"
"206","68.62764","124.4062"
"207","68.36275","140.026"
"208","68.39028","117.519"
"209","68.77413","143.8737"
