"","religpew","pew_bornagain","pid7","race"
"1",11,2,5,1
"2",98,8,4,1
"3",2,2,1,2
"4",11,2,4,2
"5",10,2,2,1
"6",1,2,2,6
"7",1,1,6,1
"8",11,2,4,1
"9",11,1,7,1
"10",2,2,7,1
"11",1,2,2,4
"12",1,1,4,1
"13",10,2,4,6
"14",11,2,1,3
"15",9,2,4,6
"16",11,2,1,7
"17",10,2,2,1
"18",1,1,2,1
"19",2,2,2,3
"20",1,1,7,1
"21",2,2,1,3
"22",2,2,2,3
"23",2,2,4,1
"24",2,2,2,1
"25",10,2,3,1
"26",1,1,6,1
"27",11,2,4,1
"28",11,2,4,1
"29",2,2,1,1
"30",1,1,7,1
"31",3,2,7,1
"32",1,1,7,1
"33",1,1,6,1
"34",1,2,3,1
"35",2,2,6,1
"36",1,2,4,1
"37",2,2,6,1
"38",2,2,1,1
"39",11,2,8,3
"40",12,2,3,1
"41",1,1,4,5
"42",10,2,6,1
"43",2,2,1,1
"44",1,1,5,1
"45",11,2,1,1
"46",11,1,1,2
"47",12,2,4,1
"48",11,2,4,1
"49",2,2,1,3
"50",11,2,1,4
"51",10,2,3,1
"52",1,2,4,1
"53",11,2,5,1
"54",2,2,2,1
"55",5,2,1,1
"56",2,2,3,1
"57",12,2,4,1
"58",1,2,5,1
"59",1,1,2,1
"60",10,2,2,1
"61",1,1,5,3
"62",11,2,4,4
"63",1,1,5,1
"64",2,1,1,1
"65",1,1,1,1
"66",2,2,1,1
"67",1,2,2,1
"68",1,2,1,1
"69",2,2,1,1
"70",2,2,6,1
"71",1,1,7,1
"72",10,2,3,1
"73",4,2,5,1
"74",10,2,1,1
"75",11,2,3,2
"76",2,2,1,3
"77",12,1,5,1
"78",1,1,1,6
"79",11,2,2,1
"80",10,2,1,1
"81",1,1,4,1
"82",2,2,1,3
"83",5,2,1,1
"84",11,1,4,1
"85",1,2,1,2
"86",11,2,3,1
"87",2,2,1,1
"88",11,2,3,1
"89",5,2,4,1
"90",1,2,3,1
"91",11,2,3,1
"92",1,1,7,1
"93",9,2,1,1
"94",11,2,4,3
"95",11,2,7,1
"96",1,2,2,1
"97",10,2,1,2
"98",1,2,1,2
"99",11,2,4,5
"100",2,2,3,1
"101",5,2,4,1
"102",12,2,4,1
"103",1,1,7,6
"104",11,2,1,1
"105",9,2,1,1
"106",11,2,1,1
"107",2,1,1,1
"108",1,1,4,2
"109",12,2,6,5
"110",11,2,4,1
"111",1,1,2,2
"112",1,1,4,1
"113",11,1,1,1
"114",2,2,1,1
"115",1,1,6,6
"116",2,2,7,1
"117",5,2,4,1
"118",2,2,3,1
"119",11,2,2,1
"120",2,2,2,1
"121",2,2,4,1
"122",5,2,7,1
"123",10,2,1,1
"124",1,1,6,1
"125",12,2,5,7
"126",2,2,3,1
"127",11,2,5,1
"128",1,1,5,1
"129",11,2,3,1
"130",1,2,3,1
"131",10,2,1,1
"132",1,2,2,1
"133",1,1,7,1
"134",1,1,4,1
"135",1,1,7,1
"136",1,1,7,1
"137",1,2,5,1
"138",10,2,5,1
"139",12,2,3,1
"140",9,2,1,1
"141",4,2,6,1
"142",9,2,1,1
"143",2,2,7,1
"144",1,2,4,1
"145",11,2,5,1
"146",1,2,1,2
"147",1,2,1,1
"148",11,2,2,4
"149",2,2,5,1
"150",1,2,6,7
"151",1,1,2,1
"152",10,2,3,1
"153",1,2,7,1
"154",1,1,7,1
"155",1,1,1,1
"156",1,2,1,1
"157",5,2,6,1
"158",11,2,6,1
"159",1,1,7,1
"160",2,2,4,7
"161",2,1,1,1
"162",12,2,6,1
"163",2,2,5,1
"164",12,2,1,3
"165",9,2,1,1
"166",2,2,2,3
"167",10,2,2,1
"168",1,2,3,2
"169",10,2,3,1
"170",9,2,1,1
"171",9,2,1,1
"172",11,2,7,1
"173",1,1,1,2
"174",2,2,1,1
"175",1,2,2,1
"176",1,2,1,1
"177",7,2,5,1
"178",11,2,2,1
"179",1,1,2,2
"180",9,2,2,2
"181",1,1,6,3
"182",1,1,2,1
"183",2,2,2,1
"184",9,2,4,1
"185",1,2,7,1
"186",10,2,3,1
"187",1,2,2,1
"188",12,2,4,1
"189",11,2,4,1
"190",1,2,5,1
"191",2,2,7,1
"192",6,2,4,1
"193",9,2,3,1
"194",9,2,1,1
"195",1,2,4,2
"196",1,1,7,1
"197",10,2,3,1
"198",9,2,4,1
"199",11,2,1,3
"200",2,2,4,6
"201",2,2,7,1
"202",1,2,4,1
"203",1,1,5,1
"204",11,2,6,1
"205",11,1,5,1
"206",2,2,1,6
"207",12,2,4,1
"208",2,2,4,1
"209",11,2,7,1
"210",11,2,4,3
"211",11,2,4,1
"212",11,2,2,1
"213",1,1,6,1
"214",1,1,1,1
"215",11,2,1,2
"216",2,1,4,1
"217",11,2,1,1
"218",2,2,6,4
"219",1,1,7,1
"220",2,2,1,1
"221",9,2,4,1
"222",10,2,4,1
"223",1,2,4,3
"224",11,2,1,2
"225",2,2,7,3
"226",1,1,2,3
"227",1,2,6,1
"228",11,2,4,7
"229",11,2,1,7
"230",3,2,7,1
"231",10,2,1,1
"232",11,2,1,1
"233",1,2,7,1
"234",11,2,1,1
"235",9,2,4,1
"236",1,1,4,1
"237",11,2,4,6
"238",11,2,3,3
"239",2,2,3,1
"240",2,2,2,1
"241",2,2,7,1
"242",1,2,1,1
"243",1,2,1,1
"244",12,2,3,1
"245",1,1,2,1
"246",11,2,4,1
"247",2,1,4,1
"248",1,1,7,1
"249",1,2,7,1
"250",1,2,2,1
"251",2,2,7,1
"252",1,2,1,1
"253",10,2,1,1
"254",9,2,1,1
"255",1,1,7,1
"256",9,2,4,1
"257",1,1,7,1
"258",1,1,6,1
"259",1,2,7,1
"260",1,2,1,1
"261",1,2,4,1
"262",11,2,4,7
"263",10,2,1,1
"264",10,2,6,1
"265",11,2,2,3
"266",1,1,3,1
"267",1,2,1,1
"268",1,1,1,2
"269",11,1,1,2
"270",1,1,2,1
"271",2,2,2,1
"272",1,2,4,1
"273",1,1,1,1
"274",1,1,1,2
"275",1,2,7,1
"276",1,1,7,1
"277",2,2,1,1
"278",2,2,5,1
"279",2,2,1,1
"280",1,1,7,1
"281",11,1,7,1
"282",1,2,5,1
"283",1,1,5,1
"284",12,2,5,1
"285",11,2,7,1
"286",1,2,6,1
"287",1,2,6,1
"288",12,2,1,1
"289",2,1,6,1
"290",10,2,1,1
"291",1,2,3,1
"292",1,1,6,1
"293",2,2,7,1
"294",9,2,1,6
"295",12,1,2,2
"296",2,2,8,1
"297",2,2,2,2
"298",9,2,1,1
"299",2,1,7,1
"300",2,1,7,1
"301",2,2,4,1
"302",11,2,3,1
"303",10,2,3,1
"304",4,2,1,2
"305",2,2,4,7
"306",10,2,4,1
"307",10,2,5,1
"308",3,2,7,1
"309",5,2,1,1
"310",1,1,7,1
"311",1,1,5,1
"312",10,2,4,4
"313",1,1,7,1
"314",2,2,1,1
"315",1,2,7,1
"316",10,2,1,1
"317",11,2,3,1
"318",1,2,5,6
"319",11,2,1,1
"320",1,2,2,2
"321",12,1,4,1
"322",1,2,7,1
"323",11,2,1,1
"324",1,2,5,3
"325",10,2,5,1
"326",2,2,6,1
"327",12,2,4,1
"328",10,2,1,1
"329",9,2,1,1
"330",12,2,1,1
"331",1,1,7,1
"332",1,2,4,1
"333",11,2,7,1
"334",1,1,1,6
"335",9,2,1,1
"336",11,2,4,1
"337",2,2,2,1
"338",11,2,5,1
"339",2,2,7,1
"340",9,2,1,1
"341",2,2,1,1
"342",1,2,1,1
"343",1,2,7,1
"344",10,2,1,1
"345",2,2,7,1
"346",1,2,3,1
"347",2,2,7,1
"348",11,2,6,1
"349",12,2,1,1
"350",1,1,6,6
"351",1,1,4,1
"352",9,2,1,1
"353",11,2,2,1
"354",2,2,6,1
"355",11,2,1,2
"356",1,1,1,2
"357",2,2,4,1
"358",1,1,2,1
"359",1,1,7,1
"360",2,2,4,1
"361",9,2,1,1
"362",11,2,6,1
"363",1,2,4,1
"364",2,2,6,1
"365",5,2,1,1
"366",5,2,2,1
"367",11,1,2,1
"368",2,2,2,1
"369",10,2,7,1
"370",1,1,3,1
"371",1,2,7,1
"372",5,2,3,1
"373",1,1,4,1
"374",2,2,6,1
"375",9,2,1,1
"376",1,2,7,1
"377",12,2,6,1
"378",1,2,1,2
"379",11,2,4,1
"380",11,2,1,2
"381",11,2,1,1
"382",1,2,4,1
"383",1,1,2,1
"384",2,2,1,1
"385",2,2,4,1
"386",1,2,1,1
"387",2,2,4,1
"388",1,1,4,1
"389",9,2,1,1
"390",2,2,2,1
"391",2,2,6,1
"392",2,2,6,1
"393",11,2,1,1
"394",11,2,1,1
"395",2,2,7,1
"396",1,2,4,1
"397",1,2,1,1
"398",9,2,1,1
"399",1,2,7,1
"400",2,2,7,1
"401",2,2,7,1
"402",1,2,4,1
"403",9,2,1,1
"404",2,2,7,1
"405",1,2,6,1
"406",1,2,1,2
"407",2,2,1,1
"408",3,2,2,1
"409",1,2,2,1
"410",11,2,7,1
"411",2,2,6,1
"412",11,2,2,1
"413",9,2,1,1
"414",9,2,4,1
"415",2,2,7,1
"416",9,2,1,1
"417",1,1,4,1
"418",2,2,7,1
"419",1,1,7,1
"420",1,1,1,1
"421",1,2,3,1
"422",1,1,7,1
"423",10,2,3,1
"424",1,2,1,1
"425",9,2,3,1
"426",1,1,7,1
"427",5,2,1,1
"428",1,2,1,1
"429",2,2,1,1
"430",11,2,1,1
"431",11,2,4,1
"432",10,2,3,1
"433",1,1,7,1
"434",1,2,7,7
"435",8,2,4,4
"436",2,2,1,3
"437",2,2,7,7
"438",2,2,1,2
"439",2,2,1,2
"440",11,2,3,1
"441",2,2,1,3
"442",1,1,7,1
"443",2,2,1,1
"444",2,2,7,1
"445",12,2,3,1
"446",5,2,1,1
"447",10,2,5,1
"448",1,2,7,1
"449",1,1,5,1
"450",1,1,7,1
"451",2,1,6,1
"452",2,2,5,1
"453",2,2,4,1
"454",1,2,6,1
"455",11,2,1,1
"456",1,1,7,1
"457",11,1,6,1
"458",2,2,6,1
"459",1,1,1,1
"460",12,2,5,1
"461",1,2,1,2
"462",1,1,6,1
"463",10,2,3,1
"464",1,2,7,1
"465",2,2,4,1
"466",2,2,1,1
"467",5,2,1,1
"468",2,2,3,3
"469",1,2,2,1
"470",1,2,5,1
"471",11,1,4,1
"472",11,1,4,1
"473",11,2,2,1
"474",11,2,2,2
"475",1,1,1,2
"476",11,1,7,1
"477",1,2,4,1
"478",9,2,3,1
"479",1,2,3,1
"480",1,2,3,1
"481",11,2,1,1
"482",5,2,6,1
"483",5,2,5,1
"484",12,2,1,2
"485",9,2,4,1
"486",5,2,1,1
"487",12,1,1,2
"488",2,2,1,1
"489",9,2,1,1
"490",2,2,4,1
"491",12,2,4,7
"492",1,2,4,5
"493",1,2,6,1
"494",2,2,1,1
"495",11,1,1,1
"496",11,2,1,1
"497",11,2,7,1
"498",9,2,3,1
"499",1,1,4,1
"500",2,2,6,1
"501",2,2,1,1
"502",9,2,4,1
"503",12,2,1,1
"504",11,2,4,1
"505",1,1,5,1
"506",2,2,1,1
"507",2,2,5,1
"508",2,2,1,1
"509",1,2,6,1
"510",5,2,1,1
"511",9,2,4,1
"512",11,2,1,1
"513",1,1,7,1
"514",12,1,7,1
"515",11,2,6,1
"516",1,1,7,1
"517",11,2,1,2
"518",10,2,1,5
"519",1,1,6,1
"520",12,1,7,1
"521",11,2,3,1
"522",1,1,1,1
"523",1,1,4,1
"524",2,2,7,1
"525",2,2,6,1
"526",11,1,7,1
"527",11,1,7,1
"528",1,2,2,1
"529",1,1,7,1
"530",1,1,4,1
"531",1,2,4,1
"532",2,2,6,1
"533",11,1,4,2
"534",1,2,1,1
"535",11,2,2,1
"536",1,1,5,1
"537",9,2,3,1
"538",1,2,6,1
"539",7,2,6,4
"540",10,2,1,1
"541",2,2,5,1
"542",1,1,7,1
"543",11,2,2,2
"544",1,1,7,1
"545",9,2,1,1
"546",1,2,7,1
"547",2,2,7,1
"548",1,1,5,1
"549",12,1,4,1
"550",1,1,7,1
"551",1,1,6,1
"552",2,2,6,1
"553",5,2,6,1
"554",12,2,1,1
"555",1,1,4,7
"556",10,2,1,1
"557",9,2,3,1
"558",1,2,2,1
"559",12,2,3,1
"560",5,2,3,1
"561",2,2,7,1
"562",2,2,1,1
"563",2,2,2,1
"564",1,1,3,6
"565",2,2,2,6
"566",1,1,3,1
"567",4,2,7,6
"568",2,2,3,1
"569",2,2,4,1
"570",1,1,7,1
"571",1,1,5,1
"572",1,2,2,1
"573",1,2,4,1
"574",10,2,2,1
"575",2,2,4,1
"576",1,2,5,1
"577",2,2,4,1
"578",11,2,2,1
"579",1,1,1,1
"580",1,2,7,1
"581",2,2,2,1
"582",9,2,4,6
"583",10,2,3,1
"584",10,2,1,1
"585",1,2,5,1
"586",1,2,1,1
"587",9,2,1,1
"588",10,2,1,1
"589",3,2,5,5
"590",2,2,4,1
"591",11,1,1,2
"592",11,2,1,2
"593",1,1,1,2
"594",1,2,1,2
"595",2,2,7,1
"596",2,2,4,1
"597",1,1,7,1
"598",10,2,1,1
"599",9,2,3,1
"600",1,2,6,6
"601",11,2,3,1
"602",2,2,4,1
"603",12,2,4,1
"604",9,2,4,1
"605",10,2,5,1
"606",11,2,6,1
