"","religpew","pew_bornagain","pid7","race","inputstate","ideo5"
"1",11,2,5,1,33,3
"2",98,8,4,1,22,3
"3",2,2,1,2,29,5
"4",11,2,4,2,1,4
"5",10,2,2,1,8,2
"6",1,2,2,6,1,6
"7",1,1,6,1,48,5
"8",11,2,4,1,42,3
"9",11,1,7,1,13,4
"10",2,2,7,1,42,3
"11",1,2,2,4,15,3
"12",1,1,4,1,48,4
"13",10,2,4,6,12,6
"14",11,2,1,3,48,1
"15",9,2,4,6,20,3
"16",11,2,1,7,42,1
"17",10,2,2,1,34,2
"18",1,1,2,1,48,3
"19",2,2,2,3,36,3
"20",1,1,7,1,12,2
"21",2,2,1,3,36,3
"22",2,2,2,3,6,1
"23",2,2,4,1,25,3
"24",2,2,2,1,23,6
"25",10,2,3,1,6,3
"26",1,1,6,1,24,4
"27",11,2,4,1,12,3
"28",11,2,4,1,37,6
"29",2,2,1,1,26,6
"30",1,1,7,1,48,5
"31",3,2,7,1,41,4
"32",1,1,7,1,48,5
"33",1,1,6,1,30,4
"34",1,2,3,1,4,3
"35",2,2,6,1,42,3
"36",1,2,4,1,26,2
"37",2,2,6,1,48,4
"38",2,2,1,1,53,3
"39",11,2,8,3,51,3
"40",12,2,3,1,6,3
"41",1,1,4,5,6,5
"42",10,2,6,1,45,3
"43",2,2,1,1,26,1
"44",1,1,5,1,36,5
"45",11,2,1,1,12,2
"46",11,1,1,2,5,3
"47",12,2,4,1,9,5
"48",11,2,4,1,47,3
"49",2,2,1,3,6,2
"50",11,2,1,4,25,1
"51",10,2,3,1,32,3
"52",1,2,4,1,17,5
"53",11,2,5,1,48,5
"54",2,2,2,1,6,3
"55",5,2,1,1,36,2
"56",2,2,3,1,34,2
"57",12,2,4,1,6,3
"58",1,2,5,1,47,3
"59",1,1,2,1,54,4
"60",10,2,2,1,40,2
"61",1,1,5,3,25,4
"62",11,2,4,4,48,3
"63",1,1,5,1,18,5
"64",2,1,1,1,6,5
"65",1,1,1,1,24,5
"66",2,2,1,1,48,3
"67",1,2,2,1,37,4
"68",1,2,1,1,55,2
"69",2,2,1,1,24,3
"70",2,2,6,1,6,4
"71",1,1,7,1,29,5
"72",10,2,3,1,32,1
"73",4,2,5,1,26,5
"74",10,2,1,1,48,2
"75",11,2,3,2,39,3
"76",2,2,1,3,49,1
"77",12,1,5,1,42,6
"78",1,1,1,6,48,6
"79",11,2,2,1,48,6
"80",10,2,1,1,40,2
"81",1,1,4,1,53,4
"82",2,2,1,3,29,1
"83",5,2,1,1,56,2
"84",11,1,4,1,42,3
"85",1,2,1,2,36,1
"86",11,2,3,1,12,2
"87",2,2,1,1,6,2
"88",11,2,3,1,24,1
"89",5,2,4,1,11,3
"90",1,2,3,1,17,3
"91",11,2,3,1,41,2
"92",1,1,7,1,12,4
"93",9,2,1,1,37,2
"94",11,2,4,3,36,3
"95",11,2,7,1,18,3
"96",1,2,2,1,16,3
"97",10,2,1,2,1,2
"98",1,2,1,2,51,3
"99",11,2,4,5,27,3
"100",2,2,3,1,51,3
"101",5,2,4,1,48,3
"102",12,2,4,1,1,4
"103",1,1,7,6,53,5
"104",11,2,1,1,26,2
"105",9,2,1,1,6,1
"106",11,2,1,1,13,1
"107",2,1,1,1,36,5
"108",1,1,4,2,17,3
"109",12,2,6,5,9,4
"110",11,2,4,1,25,3
"111",1,1,2,2,24,5
"112",1,1,4,1,26,3
"113",11,1,1,1,12,1
"114",2,2,1,1,29,2
"115",1,1,6,6,39,4
"116",2,2,7,1,23,4
"117",5,2,4,1,37,3
"118",2,2,3,1,51,3
"119",11,2,2,1,29,2
"120",2,2,2,1,26,3
"121",2,2,4,1,48,3
"122",5,2,7,1,39,4
"123",10,2,1,1,36,1
"124",1,1,6,1,54,4
"125",12,2,5,7,48,4
"126",2,2,3,1,53,2
"127",11,2,5,1,8,3
"128",1,1,5,1,54,4
"129",11,2,3,1,36,2
"130",1,2,3,1,37,3
"131",10,2,1,1,23,2
"132",1,2,2,1,37,2
"133",1,1,7,1,37,4
"134",1,1,4,1,6,3
"135",1,1,7,1,45,4
"136",1,1,7,1,1,4
"137",1,2,5,1,45,4
"138",10,2,5,1,6,3
"139",12,2,3,1,55,1
"140",9,2,1,1,12,1
"141",4,2,6,1,42,4
"142",9,2,1,1,40,1
"143",2,2,7,1,48,5
"144",1,2,4,1,17,6
"145",11,2,5,1,29,3
"146",1,2,1,2,6,6
"147",1,2,1,1,41,1
"148",11,2,2,4,6,4
"149",2,2,5,1,27,4
"150",1,2,6,7,17,4
"151",1,1,2,1,18,3
"152",10,2,3,1,6,2
"153",1,2,7,1,27,4
"154",1,1,7,1,6,5
"155",1,1,1,1,26,1
"156",1,2,1,1,55,2
"157",5,2,6,1,36,4
"158",11,2,6,1,6,4
"159",1,1,7,1,54,3
"160",2,2,4,7,6,3
"161",2,1,1,1,48,1
"162",12,2,6,1,12,4
"163",2,2,5,1,26,5
"164",12,2,1,3,36,2
"165",9,2,1,1,48,2
"166",2,2,2,3,6,3
"167",10,2,2,1,37,3
"168",1,2,3,2,48,4
"169",10,2,3,1,39,1
"170",9,2,1,1,53,3
"171",9,2,1,1,48,2
"172",11,2,7,1,18,5
"173",1,1,1,2,48,3
"174",2,2,1,1,42,2
"175",1,2,2,1,42,3
"176",1,2,1,1,37,1
"177",7,2,5,1,53,3
"178",11,2,2,1,17,3
"179",1,1,2,2,6,3
"180",9,2,2,2,17,2
"181",1,1,6,3,37,3
"182",1,1,2,1,36,3
"183",2,2,2,1,42,4
"184",9,2,4,1,13,6
"185",1,2,7,1,31,4
"186",10,2,3,1,47,2
"187",1,2,2,1,39,3
"188",12,2,4,1,25,3
"189",11,2,4,1,13,3
"190",1,2,5,1,17,3
"191",2,2,7,1,12,4
"192",6,2,4,1,55,4
"193",9,2,3,1,6,1
"194",9,2,1,1,36,2
"195",1,2,4,2,17,6
"196",1,1,7,1,13,4
"197",10,2,3,1,2,3
"198",9,2,4,1,53,1
"199",11,2,1,3,4,2
"200",2,2,4,6,6,6
"201",2,2,7,1,24,4
"202",1,2,4,1,37,3
"203",1,1,5,1,40,4
"204",11,2,6,1,25,4
"205",11,1,5,1,48,4
"206",2,2,1,6,36,3
"207",12,2,4,1,48,4
"208",2,2,4,1,21,3
"209",11,2,7,1,21,4
"210",11,2,4,3,44,6
"211",11,2,4,1,26,6
"212",11,2,2,1,39,3
"213",1,1,6,1,6,4
"214",1,1,1,1,27,2
"215",11,2,1,2,48,3
"216",2,1,4,1,42,6
"217",11,2,1,1,18,2
"218",2,2,6,4,32,3
"219",1,1,7,1,37,5
"220",2,2,1,1,27,3
"221",9,2,4,1,42,2
"222",10,2,4,1,39,3
"223",1,2,4,3,25,3
"224",11,2,1,2,39,3
"225",2,2,7,3,12,4
"226",1,1,2,3,8,3
"227",1,2,6,1,27,4
"228",11,2,4,7,54,6
"229",11,2,1,7,25,6
"230",3,2,7,1,49,4
"231",10,2,1,1,16,1
"232",11,2,1,1,39,2
"233",1,2,7,1,6,5
"234",11,2,1,1,27,2
"235",9,2,4,1,55,6
"236",1,1,4,1,45,5
"237",11,2,4,6,6,3
"238",11,2,3,3,27,3
"239",2,2,3,1,6,1
"240",2,2,2,1,39,3
"241",2,2,7,1,6,4
"242",1,2,1,1,45,2
"243",1,2,1,1,42,3
"244",12,2,3,1,39,2
"245",1,1,2,1,41,1
"246",11,2,4,1,39,4
"247",2,1,4,1,33,3
"248",1,1,7,1,4,5
"249",1,2,7,1,51,4
"250",1,2,2,1,6,3
"251",2,2,7,1,48,5
"252",1,2,1,1,23,1
"253",10,2,1,1,37,2
"254",9,2,1,1,51,3
"255",1,1,7,1,53,4
"256",9,2,4,1,48,3
"257",1,1,7,1,17,5
"258",1,1,6,1,37,4
"259",1,2,7,1,55,5
"260",1,2,1,1,26,2
"261",1,2,4,1,48,3
"262",11,2,4,7,37,6
"263",10,2,1,1,39,2
"264",10,2,6,1,17,3
"265",11,2,2,3,39,3
"266",1,1,3,1,31,3
"267",1,2,1,1,19,2
"268",1,1,1,2,45,3
"269",11,1,1,2,13,1
"270",1,1,2,1,42,2
"271",2,2,2,1,9,3
"272",1,2,4,1,16,4
"273",1,1,1,1,42,2
"274",1,1,1,2,1,3
"275",1,2,7,1,6,5
"276",1,1,7,1,48,4
"277",2,2,1,1,26,3
"278",2,2,5,1,34,3
"279",2,2,1,1,41,3
"280",1,1,7,1,31,5
"281",11,1,7,1,37,4
"282",1,2,5,1,48,3
"283",1,1,5,1,54,5
"284",12,2,5,1,21,4
"285",11,2,7,1,48,4
"286",1,2,6,1,51,4
"287",1,2,6,1,39,4
"288",12,2,1,1,36,2
"289",2,1,6,1,41,4
"290",10,2,1,1,37,3
"291",1,2,3,1,37,2
"292",1,1,6,1,6,4
"293",2,2,7,1,42,5
"294",9,2,1,6,6,2
"295",12,1,2,2,45,3
"296",2,2,8,1,37,6
"297",2,2,2,2,37,3
"298",9,2,1,1,6,1
"299",2,1,7,1,4,3
"300",2,1,7,1,12,4
"301",2,2,4,1,17,1
"302",11,2,3,1,29,1
"303",10,2,3,1,53,1
"304",4,2,1,2,51,1
"305",2,2,4,7,44,3
"306",10,2,4,1,39,5
"307",10,2,5,1,40,3
"308",3,2,7,1,49,5
"309",5,2,1,1,37,4
"310",1,1,7,1,48,4
"311",1,1,5,1,21,4
"312",10,2,4,4,6,6
"313",1,1,7,1,45,4
"314",2,2,1,1,17,1
"315",1,2,7,1,6,3
"316",10,2,1,1,48,2
"317",11,2,3,1,53,3
"318",1,2,5,6,17,4
"319",11,2,1,1,25,1
"320",1,2,2,2,6,4
"321",12,1,4,1,48,4
"322",1,2,7,1,37,4
"323",11,2,1,1,41,1
"324",1,2,5,3,35,3
"325",10,2,5,1,17,3
"326",2,2,6,1,6,4
"327",12,2,4,1,21,1
"328",10,2,1,1,29,1
"329",9,2,1,1,27,2
"330",12,2,1,1,35,1
"331",1,1,7,1,37,5
"332",1,2,4,1,39,3
"333",11,2,7,1,53,5
"334",1,1,1,6,51,2
"335",9,2,1,1,48,2
"336",11,2,4,1,6,3
"337",2,2,2,1,17,2
"338",11,2,5,1,6,4
"339",2,2,7,1,17,4
"340",9,2,1,1,6,2
"341",2,2,1,1,6,2
"342",1,2,1,1,37,2
"343",1,2,7,1,48,4
"344",10,2,1,1,16,2
"345",2,2,7,1,12,4
"346",1,2,3,1,24,2
"347",2,2,7,1,34,5
"348",11,2,6,1,46,4
"349",12,2,1,1,6,1
"350",1,1,6,6,32,4
"351",1,1,4,1,48,3
"352",9,2,1,1,53,2
"353",11,2,2,1,25,2
"354",2,2,6,1,51,3
"355",11,2,1,2,37,2
"356",1,1,1,2,37,1
"357",2,2,4,1,4,3
"358",1,1,2,1,29,2
"359",1,1,7,1,37,5
"360",2,2,4,1,9,3
"361",9,2,1,1,6,1
"362",11,2,6,1,12,3
"363",1,2,4,1,26,5
"364",2,2,6,1,34,5
"365",5,2,1,1,29,1
"366",5,2,2,1,8,2
"367",11,1,2,1,47,3
"368",2,2,2,1,34,3
"369",10,2,7,1,37,5
"370",1,1,3,1,42,3
"371",1,2,7,1,1,4
