"","vote16","reltrad","age"
"1",NA,"Evangelical",53
"2","Donald Trump","Evangelical",54
"3",NA,"Evangelical",55
"4","Donald Trump","Evangelical",35
"5","Donald Trump","Evangelical",38
"6","Donald Trump","Evangelical",49
"7","Donald Trump","Evangelical",62
"8","Donald Trump","Evangelical",28
"9","Donald Trump","Evangelical",57
"10",NA,"Evangelical",25
"11",NA,"Evangelical",67
"12",NA,"Evangelical",55
"13",NA,"Evangelical",59
"14","Gary Johnson","Evangelical",50
"15","Hillary Clinton","Evangelical",68
"16","Hillary Clinton","Evangelical",74
"17","Donald Trump","Evangelical",57
"18","Hillary Clinton","Evangelical",56
"19","Donald Trump","Evangelical",57
"20","Hillary Clinton","Evangelical",60
"21","Donald Trump","Evangelical",71
"22","Hillary Clinton","Evangelical",45
"23","Hillary Clinton","Evangelical",39
"24","Gary Johnson","Evangelical",41
"25","Gary Johnson","Evangelical",57
"26","Donald Trump","Evangelical",65
"27","Donald Trump","Evangelical",79
"28","Donald Trump","Evangelical",77
"29","Donald Trump","Evangelical",65
"30","Donald Trump","Evangelical",49
"31","Donald Trump","Evangelical",74
"32",NA,"Evangelical",46
"33","Donald Trump","Evangelical",19
"34","Gary Johnson","Evangelical",19
"35",NA,"Evangelical",46
"36","Donald Trump","Evangelical",59
"37","Hillary Clinton","Evangelical",31
"38","Hillary Clinton","Evangelical",75
"39","Other","Evangelical",56
"40","Other","Evangelical",42
"41","Donald Trump","Evangelical",48
"42","Hillary Clinton","Evangelical",68
"43","Donald Trump","Evangelical",71
"44","Donald Trump","Evangelical",31
"45",NA,"Evangelical",35
"46",NA,"Evangelical",23
"47","Hillary Clinton","Evangelical",53
"48","Donald Trump","Evangelical",68
"49","Hillary Clinton","Evangelical",64
"50","Donald Trump","Evangelical",67
"51","Donald Trump","Evangelical",77
"52","Hillary Clinton","Evangelical",65
"53","Hillary Clinton","Evangelical",78
"54","Donald Trump","Evangelical",58
"55","Donald Trump","Evangelical",55
"56","Donald Trump","Evangelical",57
"57","Hillary Clinton","Evangelical",65
"58","Donald Trump","Evangelical",34
"59","Hillary Clinton","Evangelical",31
"60","Donald Trump","Evangelical",56
"61","Other","Evangelical",54
"62",NA,"Evangelical",53
"63","Hillary Clinton","Evangelical",70
"64","Donald Trump","Evangelical",60
"65","Hillary Clinton","Evangelical",64
"66",NA,"Evangelical",68
"67","Donald Trump","Evangelical",63
"68","Donald Trump","Evangelical",55
"69","Donald Trump","Evangelical",75
"70","Hillary Clinton","Evangelical",65
"71","Donald Trump","Evangelical",68
"72","Donald Trump","Evangelical",41
"73","Hillary Clinton","Evangelical",59
"74","Hillary Clinton","Evangelical",73
"75",NA,"Evangelical",63
"76","Hillary Clinton","Evangelical",29
"77","Donald Trump","Evangelical",56
"78","Donald Trump","Evangelical",56
"79","Jill Stein","Evangelical",59
"80","Hillary Clinton","Evangelical",61
